Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-03-09,29,35,0,45,6,30,3158,0,0,0,0%,0,0,0,0%,45,35,0,0,0,0,0,0,45,0.46s,86%,1.3,00:01:30,00:01:35,1.3,79%,14,18,10,0,3,0,0,0,0%
2017-03-10,19,21,0,25,2,17,2114,0,0,0,0%,0,0,0,0%,25,21,0,0,0,0,0,0,24,0.23s,81%,1.2,00:01:41,00:03:07,1.3,67%,9,12,8,0,2,0,0,0,0%
2017-03-11,6,6,0,8,2,4,132,0,0,0,0%,0,0,0,0%,8,6,0,0,0,0,0,0,8,0.19s,67%,1.3,00:00:22,00:00:33,1.5,50%,4,6,4,0,2,0,0,0,0%
2017-03-12,6,6,0,6,1,6,0,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,5,0.17s,100%,1,00:00:00,00:00:00,1,100%,2,2,2,0,1,0,0,0,0%
2017-03-13,14,17,0,20,2,14,1002,0,0,0,0%,0,0,0,0%,20,17,0,0,0,0,0,0,20,0.76s,82%,1.2,00:00:59,00:00:09,1.1,89%,9,10,7,0,2,0,0,0,0%
2017-03-14,19,19,0,20,2,18,711,0,0,0,0%,0,0,0,0%,20,19,0,0,0,0,0,0,20,0.83s,95%,1.1,00:00:37,00:00:00,1,100%,8,8,8,0,1,0,0,0,0%
2017-03-15,19,22,0,27,3,18,1960,0,0,0,0%,0,0,0,0%,27,22,0,0,0,0,0,0,27,0.16s,82%,1.2,00:01:29,00:00:09,1.3,80%,10,13,9,0,3,0,0,0,0%
2017-03-16,13,15,0,17,2,13,879,0,0,0,0%,0,0,0,0%,17,15,0,0,0,0,0,0,17,0.13s,87%,1.1,00:00:59,00:00:00,1,100%,7,7,5,0,1,0,0,0,0%
2017-03-17,15,15,0,19,2,11,2622,0,0,0,0%,0,0,0,0%,19,15,0,0,0,0,0,0,17,0.28s,73%,1.3,00:02:55,00:03:23,1.3,75%,8,10,8,0,2,0,0,0,0%
2017-03-18,5,6,0,6,1,6,0,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,6,0.59s,100%,1,00:00:00,00:00:00,1,100%,2,2,2,0,1,0,0,0,0%
2017-03-19,9,11,0,25,7,7,863,0,0,0,0%,0,0,0,0%,24,11,0,0,1,1,0,0,21,0.12s,64%,2.3,00:01:18,00:01:11,2.6,60%,5,13,4,0,7,0,0,0,0%
2017-03-20,12,14,0,18,2,10,400,0,0,0,0%,0,0,0,0%,18,14,0,0,0,0,0,0,17,0.5s,71%,1.3,00:00:29,00:00:40,1.3,71%,7,9,6,0,2,0,0,0,0%
2017-03-21,16,26,0,41,14,23,2691,0,0,0,0%,0,0,0,0%,41,26,0,0,0,0,0,0,40,0.19s,88%,1.6,00:01:44,00:01:54,1.8,88%,17,31,8,0,14,0,0,0,0%
2017-03-22,27,29,0,39,5,25,2814,0,0,0,0%,0,0,0,0%,38,28,0,0,1,1,0,0,37,0.21s,86%,1.3,00:01:37,00:00:00,1,100%,8,8,8,0,1,0,0,0,0%
2017-03-23,11,11,0,14,3,9,319,0,0,0,0%,0,0,0,0%,13,11,0,0,1,1,0,0,13,0.32s,82%,1.3,00:00:29,00:01:20,1.8,50%,4,7,4,0,3,0,0,0,0%
2017-03-24,18,18,0,22,4,16,631,0,0,0,0%,0,0,0,0%,22,18,0,0,0,0,0,0,20,0.59s,89%,1.2,00:00:35,00:00:05,1.1,88%,8,9,8,0,2,0,0,0,0%
2017-03-25,6,6,0,6,1,6,0,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,6,0.32s,100%,1,00:00:00,00:00:00,1,100%,2,2,2,0,1,0,0,0,0%
2017-03-26,6,7,0,8,2,6,48,0,0,0,0%,0,0,0,0%,8,7,0,0,0,0,0,0,8,0.21s,86%,1.1,00:00:07,00:00:12,1.3,75%,4,5,3,0,2,0,0,0,0%
2017-03-27,11,11,0,13,3,10,154,0,0,0,0%,0,0,0,0%,13,11,0,0,0,0,0,0,13,0.26s,91%,1.2,00:00:14,00:00:26,1.3,83%,6,8,6,0,3,0,0,0,0%
2017-03-28,14,16,0,17,2,15,22,0,0,0,0%,0,0,0,0%,16,16,0,0,1,1,0,0,14,0.34s,94%,1.1,00:00:01,00:00:02,1.1,89%,9,10,7,0,2,0,0,0,0%
2017-03-29,17,23,0,37,9,18,2415,0,0,0,0%,0,0,0,0%,37,23,0,0,0,0,0,0,37,0.4s,78%,1.6,00:01:45,00:00:55,1.3,82%,17,22,13,0,3,0,0,0,0%
2017-03-30,17,20,0,24,3,17,618,0,0,0,0%,0,0,0,0%,24,20,0,0,0,0,0,0,22,0.24s,85%,1.2,00:00:31,00:00:17,1.2,89%,9,11,6,0,3,0,0,0,0%
2017-03-31,14,14,0,16,2,12,132,0,0,0,0%,0,0,0,0%,16,14,0,0,0,0,0,0,16,0.27s,86%,1.1,00:00:09,00:00:04,1.1,86%,7,8,7,0,2,0,0,0,0%
2017-04-01,8,8,0,10,2,6,492,0,0,0,0%,0,0,0,0%,10,8,0,0,0,0,0,0,10,0.33s,75%,1.3,00:01:02,00:00:56,1.2,83%,6,7,6,0,2,0,0,0,0%
2017-04-02,2,2,0,3,2,1,470,0,0,0,0%,0,0,0,0%,3,2,0,0,0,0,0,0,3,0.19s,50%,1.5,00:03:55,00:00:00,0,0%,,,,,,,,,
2017-04-03,18,20,0,22,3,19,215,0,0,0,0%,0,0,0,0%,22,20,0,0,0,0,0,0,22,0.59s,95%,1.1,00:00:11,00:00:22,1.2,90%,10,12,9,0,3,0,0,0,0%
