Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2016-03-29,4,4,0,9,4,2,264,0,0,0,0%,0,0,0,0%,9,8,0,0,0,0,0,0,9,1.49s,50%,2.3,00:01:06,00:00:00,0,0%,,,,,,,,,
2016-03-30,1,1,0,2,2,0,23,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.82s,0%,2,00:00:23,00:00:00,0,0%,,,,,,,,,
2016-03-31,3,3,0,4,2,2,10,0,0,0,0%,0,0,0,0%,4,3,0,0,0,0,0,0,4,0.39s,67%,1.3,00:00:03,00:00:00,0,0%,,,,,,,,,
2016-04-01,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,10.82s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-02,2,2,0,7,6,1,282,0,0,0,0%,0,0,0,0%,7,6,0,0,0,0,0,0,7,0.72s,50%,3.5,00:02:21,00:00:00,0,0%,,,,,,,,,
2016-04-03,1,1,0,3,3,0,199,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,1.2s,0%,3,00:03:19,00:00:00,0,0%,,,,,,,,,
2016-04-04,2,2,0,27,25,0,750,0,0,0,0%,0,0,0,0%,26,13,0,0,1,1,0,0,25,3.28s,0%,13.5,00:06:15,00:00:00,0,0%,,,,,,,,,
2016-04-05,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,1.77s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-06,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.64s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-07,5,5,0,25,17,3,1676,0,0,0,0%,0,0,0,0%,24,12,0,0,1,1,0,0,24,1.45s,60%,5,00:05:35,00:00:00,0,0%,,,,,,,,,
2016-04-08,3,3,0,14,11,1,382,0,0,0,0%,0,0,0,0%,14,5,0,0,0,0,0,0,12,0.48s,33%,4.7,00:02:07,00:00:00,0,0%,,,,,,,,,
2016-04-09,2,2,0,10,8,0,147,0,0,0,0%,0,0,0,0%,10,6,0,0,0,0,0,0,10,1.22s,0%,5,00:01:14,00:00:00,0,0%,,,,,,,,,
2016-04-10,2,2,0,7,6,1,65,0,0,0,0%,0,0,0,0%,7,4,0,0,0,0,0,0,7,0.83s,50%,3.5,00:00:33,00:00:00,0,0%,,,,,,,,,
2016-04-11,2,3,0,25,21,1,1206,0,0,0,0%,0,0,0,0%,25,14,0,0,0,0,0,0,25,3.75s,33%,8.3,00:06:42,00:01:30,3,0%,1,3,1,0,3,0,0,0,0%
2016-04-12,4,4,0,16,13,3,663,0,0,0,0%,0,0,0,0%,16,11,0,0,0,0,0,0,16,0.48s,75%,4,00:02:46,00:00:00,0,0%,,,,,,,,,
2016-04-13,5,5,0,34,23,2,1132,0,0,0,0%,0,0,0,0%,34,20,0,0,0,0,0,0,34,0.64s,40%,6.8,00:03:46,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-04-14,4,4,0,5,2,3,69,0,0,0,0%,0,0,0,0%,5,4,0,0,0,0,0,0,5,14.1s,75%,1.3,00:00:17,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-04-15,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.16s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-16,1,2,0,10,9,1,193,0,0,0,0%,0,0,0,0%,8,7,2,2,0,0,0,0,8,0.52s,50%,5,00:01:37,00:00:00,0,0%,,,,,,,,,
2016-04-17,3,3,0,5,3,2,32,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.95s,67%,1.7,00:00:11,00:00:00,0,0%,,,,,,,,,
2016-04-18,6,7,0,20,13,5,790,0,0,0,0%,0,0,0,0%,20,15,0,0,0,0,0,0,20,0.74s,71%,2.9,00:01:53,00:04:52,7,50%,2,14,1,0,13,0,0,0,0%
2016-04-19,2,2,0,5,4,1,241,0,0,0,0%,0,0,0,0%,5,3,0,0,0,0,0,0,5,0.11s,50%,2.5,00:02:01,00:00:00,0,0%,,,,,,,,,
2016-04-20,7,10,0,22,10,7,1775,0,0,0,0%,0,0,0,0%,22,20,0,0,0,0,0,0,22,1.12s,70%,2.2,00:02:58,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-04-21,5,5,0,14,9,3,508,0,0,0,0%,0,0,0,0%,14,10,0,0,0,0,0,0,14,0.46s,60%,2.8,00:01:42,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-04-22,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.34s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-23,3,3,0,5,3,2,29,0,0,0,0%,0,0,0,0%,5,4,0,0,0,0,0,0,5,0.44s,67%,1.7,00:00:10,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-04-24,1,1,0,2,2,0,83,0,0,0,0%,0,0,0,0%,2,1,0,0,0,0,0,0,2,0.12s,0%,2,00:01:23,00:00:00,0,0%,,,,,,,,,
2016-04-25,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.81s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-04-27,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,2.77s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-28,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,7.67s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-04-29,3,3,0,48,46,2,1153,0,0,0,0%,0,0,0,0%,43,28,5,5,0,0,0,0,43,0.45s,67%,16,00:06:24,00:19:13,46,0%,1,46,1,0,46,0,0,0,0%
2016-04-30,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.12s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-05-01,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,1.65s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-05-03,4,4,0,9,5,2,24,0,0,0,0%,0,0,0,0%,9,8,0,0,0,0,0,0,9,0.8s,50%,2.3,00:00:06,00:00:18,5,0%,1,5,1,0,5,0,0,0,0%
2016-05-04,3,3,0,10,5,0,205,0,0,0,0%,0,0,0,0%,10,7,0,0,0,0,0,0,10,0.99s,0%,3.3,00:01:08,00:00:00,0,0%,,,,,,,,,
2016-05-05,2,2,0,11,6,0,252,0,0,0,0%,0,0,0,0%,11,8,0,0,0,0,0,0,11,0.44s,0%,5.5,00:02:06,00:00:00,0,0%,,,,,,,,,
2016-05-06,2,3,0,12,10,2,250,0,0,0,0%,0,0,0,0%,12,6,0,0,0,0,0,0,12,0.39s,67%,4,00:01:23,00:00:00,0,0%,,,,,,,,,
2016-05-07,2,2,0,10,9,1,124,0,0,0,0%,0,0,0,0%,10,6,0,0,0,0,0,0,10,0.2s,50%,5,00:01:02,00:00:00,0,0%,,,,,,,,,
