Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-09-17,21,28,0,64,21,17,3776,0,0,0,0%,0,0,0,0%,43,39,0,0,21,20,0,0,43,0.38s,61%,2.3,00:02:15,00:03:01,2.5,60%,20,50,13,0,21,0,0,0,0%
2017-09-18,19,21,0,38,7,14,2190,0,0,0,0%,0,0,0,0%,35,33,0,0,3,3,0,0,33,0.28s,67%,1.8,00:01:44,00:01:03,1.9,67%,9,17,7,0,7,0,0,0,0%
2017-09-19,21,24,0,95,23,13,1650,0,0,0,0%,0,0,0,0%,92,54,0,0,3,3,0,0,90,0.08s,54%,4,00:01:09,00:00:40,3.2,62%,13,42,10,0,23,0,0,0,0%
2017-09-20,19,24,0,56,8,10,2218,0,0,0,0%,0,0,0,0%,53,42,0,0,3,3,0,0,52,0.61s,42%,2.3,00:01:32,00:00:31,2.2,41%,17,38,12,0,8,0,0,0,0%
2017-09-21,11,13,0,28,7,8,1322,0,0,0,0%,0,0,0,0%,27,20,0,0,1,1,0,0,27,0.14s,62%,2.2,00:01:42,00:02:29,2,63%,8,16,6,0,7,0,0,0,0%
2017-09-22,12,13,0,27,6,8,181,0,0,0,0%,0,0,0,0%,26,22,0,0,1,1,0,0,24,0.42s,62%,2.1,00:00:14,00:00:04,1.6,71%,7,11,6,0,4,0,0,0,0%
2017-09-23,4,5,0,5,1,5,0,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.21s,100%,1,00:00:00,00:00:00,1,100%,3,3,3,0,1,0,0,0,0%
2017-09-24,5,7,0,15,4,3,167,0,0,0,0%,0,0,0,0%,15,13,0,0,0,0,0,0,15,2.32s,43%,2.1,00:00:24,00:00:11,2.2,40%,5,11,3,0,4,0,0,0,0%
2017-09-25,15,18,0,38,7,10,2293,0,0,0,0%,0,0,0,0%,36,30,0,0,2,2,0,0,36,0.29s,56%,2.1,00:02:07,00:03:02,2.2,50%,12,26,9,0,7,0,0,0,0%
2017-09-26,9,9,0,14,3,5,1001,0,0,0,0%,0,0,0,0%,14,14,0,0,0,0,0,0,14,0.5s,56%,1.6,00:01:51,00:03:17,1.6,40%,5,8,5,0,2,0,0,0,0%
2017-09-27,13,14,0,19,3,10,375,0,0,0,0%,0,0,0,0%,19,18,0,0,0,0,0,0,19,0.41s,71%,1.4,00:00:27,00:00:47,1.6,50%,8,13,8,0,3,0,0,0,0%
2017-09-28,9,9,0,38,13,5,1549,0,0,0,0%,0,0,0,0%,38,20,0,0,0,0,0,0,36,0.16s,56%,4.2,00:02:52,00:00:25,2,67%,6,12,6,0,4,0,0,0,0%
2017-09-29,4,5,0,13,8,3,61,0,0,0,0%,0,0,0,0%,12,7,0,0,1,1,0,0,12,0.19s,60%,2.6,00:00:12,00:00:29,4.5,50%,2,9,2,0,8,0,0,0,0%
2017-09-30,2,2,0,9,8,1,194,0,0,0,0%,0,0,0,0%,9,4,0,0,0,0,0,0,9,0.23s,50%,4.5,00:01:37,00:00:00,0,0%,,,,,,,,,
