Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2017-11-29,81,116,0,1549,192,40,65746,67,722,37,0,101,37%,10.8,00:07:41,0,0,0,0%,0,0,0,0%,0,0,0,0%,1536,554,11,9,2,2,0,0,1525,0.77s,34%,13.4,00:09:27
2017-11-30,54,96,0,782,127,51,42518,67,467,31,0,127,64%,7,00:05:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,778,342,2,2,2,2,0,0,775,0.37s,53%,8.1,00:07:23
2017-12-01,55,73,0,637,80,33,25332,37,402,25,0,80,49%,10.9,00:07:40,0,0,0,0%,0,0,0,0%,0,0,0,0%,635,309,2,2,0,0,0,0,634,0.43s,45%,8.7,00:05:47
2017-12-02,28,38,0,486,161,16,21258,23,352,18,0,161,43%,15.3,00:10:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,485,187,1,1,0,0,0,0,484,0.52s,42%,12.8,00:09:19
2017-12-03,38,61,0,606,55,25,32288,37,335,18,0,55,57%,9.1,00:05:19,0,0,0,0%,0,0,0,0%,0,0,0,0%,598,266,4,4,4,3,0,0,598,0.54s,41%,9.9,00:08:49
2017-12-04,55,81,0,664,89,36,40565,50,276,31,0,40,54%,5.5,00:04:16,0,0,0,0%,0,0,0,0%,0,0,0,0%,662,317,2,2,0,0,0,0,657,0.95s,44%,8.2,00:08:21
2017-12-05,55,63,0,524,92,24,27616,26,200,22,0,68,50%,7.7,00:09:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,520,248,4,3,0,0,0,0,518,0.78s,38%,8.3,00:07:18
2017-12-06,63,87,0,884,108,27,40353,49,522,30,0,108,41%,10.7,00:07:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,877,408,7,7,0,0,0,0,872,0.52s,31%,10.2,00:07:44
2017-12-07,59,80,0,611,99,37,30512,37,267,24,0,49,51%,7.2,00:05:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,607,274,4,4,0,0,0,0,602,0.55s,46%,7.6,00:06:21
2017-12-08,59,141,0,1377,121,68,76242,82,509,27,0,71,54%,6.2,00:06:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,1366,585,4,4,7,7,0,0,1337,0.8s,48%,9.8,00:09:01
2017-12-09,38,45,0,287,64,20,15424,16,47,14,0,12,69%,2.9,00:01:10,0,0,0,0%,0,0,0,0%,0,0,0,0%,286,157,0,0,1,1,0,0,286,0.42s,44%,6.4,00:05:43
2017-12-10,68,117,0,997,60,41,91896,57,365,35,0,38,42%,6.4,00:10:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,987,490,7,7,3,3,0,0,987,0.89s,35%,8.5,00:13:05
2017-12-11,46,68,0,378,53,34,17184,38,189,22,0,45,66%,5,00:03:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,376,196,2,2,0,0,0,0,376,0.63s,50%,5.6,00:04:13
2017-12-12,49,70,0,503,48,32,28890,36,205,24,0,45,61%,5.7,00:06:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,498,246,3,2,2,2,0,0,498,0.4s,46%,7.2,00:06:53
2017-12-13,49,68,0,407,35,30,16957,38,201,22,0,35,53%,5.3,00:03:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,404,225,2,2,1,1,0,0,404,0.37s,44%,6,00:04:09
2017-12-14,57,86,0,642,75,37,29303,48,272,24,0,75,58%,5.7,00:04:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,635,313,4,4,3,3,0,0,605,1.51s,43%,7.5,00:05:41
2017-12-15,49,73,0,586,74,29,24542,41,265,19,0,59,51%,6.5,00:03:22,0,0,0,0%,0,0,0,0%,0,0,0,0%,585,261,0,0,1,1,0,0,585,1.39s,40%,8,00:05:36
2017-12-16,37,55,0,442,61,26,23193,27,215,16,0,61,59%,8,00:06:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,435,193,4,4,3,3,0,0,434,0.58s,47%,8,00:07:02
2017-12-17,29,44,0,374,83,21,16264,20,124,10,0,29,65%,6.2,00:03:23,0,0,0,0%,0,0,0,0%,0,0,0,0%,367,170,6,6,1,1,0,0,365,0.6s,48%,8.5,00:06:10
2017-12-18,56,76,0,867,152,30,32159,37,416,21,0,152,54%,11.2,00:06:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,863,347,4,3,0,0,0,0,859,0.47s,39%,11.4,00:07:03
2017-12-19,47,69,0,661,70,26,26113,37,307,18,0,70,51%,8.3,00:04:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,651,278,1,1,9,8,0,0,651,0.43s,38%,9.6,00:06:18
2017-12-20,48,65,0,417,54,28,22403,27,157,19,0,28,41%,5.8,00:05:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,416,227,0,0,1,1,0,0,404,0.55s,43%,6.4,00:05:45
2017-12-21,50,61,0,402,47,20,21356,30,270,21,0,47,37%,9,00:08:15,0,0,0,0%,0,0,0,0%,0,0,0,0%,400,227,0,0,2,2,0,0,399,0.78s,33%,6.6,00:05:50
2017-12-22,32,45,0,345,66,18,16995,21,157,11,0,66,62%,7.5,00:04:26,0,0,0,0%,0,0,0,0%,0,0,0,0%,342,154,2,2,1,1,0,0,340,0.8s,40%,7.7,00:06:18
2017-12-23,14,20,0,88,21,9,1444,10,58,6,0,21,50%,5.8,00:01:37,0,0,0,0%,0,0,0,0%,0,0,0,0%,88,60,0,0,0,0,0,0,87,0.5s,45%,4.4,00:01:12
2017-12-24,20,25,0,273,54,13,12578,12,150,9,0,54,58%,12.5,00:09:12,0,0,0,0%,0,0,0,0%,0,0,0,0%,271,109,0,0,2,2,0,0,271,0.53s,52%,10.9,00:08:23
